target_count,seed_index,stage,cycles,actual_iter,result_index,trial_count,L_BBHT,semantic_equal
1,34,K3/H3-E4,53907,107,507,27,290,1
1,34,K3/H3-E4-M1,47146,107,507,27,290,1
1,34,K3/H3-E4-M2,41598,107,507,27,290,1
1,35,Normal-E1,62933,40,507,16,40,1
1,35,K4/H4-E1,31820,12,507,16,40,1
1,35,K4/H4-E4,22219,12,507,16,40,1
1,35,K3/H3-E4,20156,12,507,16,40,1
1,35,K3/H3-E4-M1,16060,12,507,16,40,1
1,35,K3/H3-E4-M2,12381,12,507,16,40,1
1,36,Normal-E1,268771,229,507,24,229,1
1,36,K4/H4-E1,78356,51,507,24,229,1
1,36,K4/H4-E4,38803,51,507,24,229,1
1,36,K3/H3-E4,38096,55,507,24,229,1
1,36,K3/H3-E4-M1,31952,55,507,24,229,1
1,36,K3/H3-E4-M2,26485,55,507,24,229,1
1,37,Normal-E1,205137,169,507,23,169,1
1,37,K4/H4-E1,70476,43,507,23,169,1
1,37,K4/H4-E4,37473,43,507,23,169,1
1,37,K3/H3-E4,34165,44,507,23,169,1
1,37,K3/H3-E4-M1,28277,44,507,23,169,1
1,37,K3/H3-E4-M2,23484,44,507,23,169,1
1,38,Normal-E1,155370,123,507,21,123,1
1,38,K4/H4-E1,50592,26,507,21,123,1
1,38,K4/H4-E4,30239,26,507,21,123,1
1,38,K3/H3-E4,28961,29,507,21,123,1
1,38,K3/H3-E4-M1,23585,29,507,21,123,1
1,38,K3/H3-E4-M2,18692,29,507,21,123,1
1,39,Normal-E1,136890,105,507,21,105,1
1,39,K4/H4-E1,55102,29,507,21,105,1
1,39,K4/H4-E4,33120,29,507,21,105,1
1,39,K3/H3-E4,29207,30,507,21,105,1
1,39,K3/H3-E4-M1,23831,30,507,21,105,1
1,39,K3/H3-E4-M2,19123,30,507,21,105,1
1,40,Normal-E1,73287,48,507,18,48,1
1,40,K4/H4-E1,34366,13,507,18,48,1
1,40,K4/H4-E4,23997,13,507,18,48,1
1,40,K3/H3-E4,21497,13,507,18,48,1
1,40,K3/H3-E4-M1,16889,13,507,18,48,1
1,40,K3/H3-E4-M2,13331,13,507,18,48,1
1,41,Normal-E1,232959,196,507,24,196,1
1,41,K4/H4-E1,101211,73,507,24,196,1
1,41,K4/H4-E4,47096,73,507,24,196,1
1,41,K3/H3-E4,42607,78,507,24,196,1
1,41,K3/H3-E4-M1,36657,78,507,24,196,1
1,41,K3/H3-E4-M2,33140,78,507,24,196,1
1,42,Normal-E1,158055,126,507,21,126,1
1,42,K4/H4-E1,60253,35,507,21,126,1
1,42,K4/H4-E4,32988,35,507,21,126,1
1,42,K3/H3-E4,30003,35,507,21,126,1
1,42,K3/H3-E4-M1,24627,35,507,21,126,1
1,42,K3/H3-E4-M2,20248,35,507,21,126,1
1,43,Normal-E1,297738,252,507,28,252,1
1,43,K4/H4-E1,89778,57,507,28,252,1
1,43,K4/H4-E4,45617,57,507,28,252,1
1,43,K3/H3-E4,41942,57,507,28,252,1
1,43,K3/H3-E4-M1,34774,57,507,28,252,1
1,43,K3/H3-E4-M2,28787,57,507,28,252,1
1,44,Normal-E1,416592,368,507,28,368,1
1,44,K4/H4-E1,147697,115,507,28,368,1
1,44,K4/H4-E4,58992,115,507,28,368,1
1,44,K3/H3-E4,57127,118,507,28,368,1
1,44,K3/H3-E4-M1,49959,118,507,28,368,1
1,44,K3/H3-E4-M2,44636,118,507,28,368,1
1,45,Normal-E1,162227,131,507,21,131,1
1,45,K4/H4-E1,56393,33,507,21,131,1
1,45,K4/H4-E4,30664,33,507,21,131,1
1,45,K3/H3-E4,28474,33,507,21,131,1
1,45,K3/H3-E4-M1,23116,33,507,21,131,1
1,45,K3/H3-E4-M2,19540,33,507,21,131,1
1,46,Normal-E1,126699,96,507,20,96,1
1,46,K4/H4-E1,43867,20,507,20,96,1
1,46,K4/H4-E4,28122,20,507,20,96,1
1,46,K3/H3-E4,26433,21,507,20,96,1
1,46,K3/H3-E4-M1,21313,21,507,20,96,1
1,46,K3/H3-E4-M2,15970,21,507,20,96,1
1,47,Normal-E1,151531,120,507,21,120,1
1,47,K4/H4-E1,50206,26,507,21,120,1
1,47,K4/H4-E4,30063,26,507,21,120,1
1,47,K3/H3-E4,27292,26,507,21,120,1
1,47,K3/H3-E4-M1,21916,26,507,21,120,1
