target_count,seed_index,semantic_equal,result_index,trial_count,L_BBHT,Normal-E1,K4/H4-E1,K4/H4-E4,K3/H3-E4,K3/H3-E4-M1,K3/H3-E4-M2
4,46,1,507,18,68,95073,38833,25392,23952,19344,14557
4,47,1,8685,19,76,103559,48691,28549,25790,20926,17134
4,48,1,2852,22,95,128295,62249,36555,31893,26398,20916
4,49,1,507,16,44,67755,31603,22002,20846,16750,12164
4,50,1,8685,12,9,24515,16171,14250,13141,10069,8128
4,51,1,4724,21,111,141673,48118,30367,26041,20925,17206
4,52,1,2852,18,73,100546,43777,27264,25052,20444,15316
4,53,1,4724,20,77,106623,50324,31102,27438,22318,17477
4,54,1,2852,24,217,256725,93502,43965,41494,35350,29513
4,55,1,507,23,124,158393,78176,37855,36022,30183,25462
4,56,1,8685,19,59,86342,41838,26093,24798,19934,15622
4,57,1,4724,22,166,199817,64822,33717,31792,26258,22280
4,58,1,507,21,97,128972,45839,29326,27294,21918,16585
4,59,1,2852,20,86,116351,43420,27675,27600,22480,17244
4,60,1,507,18,84,110614,43426,27101,24294,19821,16211
4,61,1,507,22,123,157900,73686,37973,36015,30435,24352
4,62,1,2852,23,153,188962,60936,34439,31736,26015,20674
4,63,1,2852,18,54,80530,30918,22853,22009,17401,12614
4,64,1,507,19,64,90315,37010,25371,22416,17759,14657
4,65,1,8685,23,131,165662,88505,40645,39248,33360,28392
4,66,1,4724,25,172,210239,86302,42909,40845,34541,29960
4,67,1,8685,16,30,51953,26685,19771,18846,14750,11532
4,68,1,2852,21,81,112032,54645,31220,29399,24023,19103
4,69,1,8685,22,106,138392,51028,30675,28368,22736,18355
4,70,1,2852,23,119,152938,59932,34971,33092,27371,23128
4,71,1,2852,22,124,158054,63699,34898,32884,27252,21851
4,72,1,507,12,15,30733,18259,14802,13691,10619,8678
4,73,1,2852,20,66,94950,40178,27561,24878,19758,15075
4,74,1,507,21,145,176868,57755,32840,28662,23286,19477
4,75,1,2852,9,9,21708,16959,13502,12391,10087,7647
4,76,1,2852,16,47,69238,30773,21172,19501,15405,12445
4,77,1,507,18,67,92007,41555,24274,22973,18365,15438
