target_count,seed_index,result_index,trial_count,L_BBHT,orca_sw_us,m2_hw_us,m2_vs_orca_speedup
1,59,507,24,141,28322212,181,156476.3093922652
1,60,507,21,135,26762275,173,154695.23121387284
1,61,507,27,306,58811879,365,161128.43561643836
1,62,507,24,196,38165995,208,183490.36057692306
1,63,507,19,67,14291893,109,131118.28440366974
1,64,507,23,129,25664740,222,115606.93693693694
1,65,507,26,277,53176037,347,153245.06340057636
1,66,507,15,45,9659034,94,102755.68085106384
1,67,507,22,105,21440404,214,100188.80373831776
1,68,507,26,239,46285915,312,148352.29166666666
1,69,507,23,160,31441793,236,133227.93644067796
1,70,507,26,243,46871297,366,128063.65300546448
1,71,507,25,235,45433534,204,222713.4019607843
1,72,507,12,15,3886755,59,65877.20338983051
1,73,507,19,49,10942563,106,103231.72641509434
1,74,507,23,212,40923597,194,210946.37628865978
1,75,507,15,42,9207023,118,78025.6186440678
1,76,507,17,64,13319149,116,114820.25
1,77,507,22,113,22740363,166,136990.13855421686
1,78,507,31,430,81533133,436,187002.5986238532
1,79,507,24,138,27673442,236,117260.34745762713
1,80,507,27,381,72157054,411,175564.60827250607
1,81,507,28,300,57399144,360,159442.06666666668
1,82,507,27,336,64031344,407,157325.16953316954
1,83,507,20,110,22205692,167,132968.21556886227
1,84,507,26,277,53220046,342,155614.1695906433
1,85,507,22,145,28725730,220,130571.5
1,86,507,24,200,38976822,266,146529.4060150376
1,87,507,23,191,37171028,227,163749.02202643172
1,88,507,24,199,38671191,270,143226.63333333333
1,89,507,16,41,9175587,83,110549.24096385542
1,90,507,24,174,34254479,282,121469.78368794326
1,91,507,17,53,11437238,115,99454.24347826088
1,92,507,20,86,17727871,143,123971.12587412588
1,93,507,23,192,37392252,225,166187.78666666665
1,94,507,18,62,13049559,142,91898.30281690141
1,95,507,20,75,15752551,150,105017.00666666667
1,96,507,24,183,35720750,277,128955.7761732852
1,97,507,21,102,20739476,192,108018.10416666667
1,98,507,20,102,20595664,131,157218.80916030533
1,99,507,27,263,50610576,470,107682.07659574469
4,0,8685,21,119,23893174,181,132006.4861878453
4,1,8685,23,132,26361605,203,129860.12315270936
4,2,2852,19,89,18153837,137,132509.75912408758
4,3,2852,20,101,20556273,155,132621.11612903225
4,4,4724,16,47,10209304,93,109777.4623655914
4,5,2852,20,72,15156946,126,120293.22222222222
4,6,507,9,14,3455735,48,71994.47916666667
4,7,507,21,112,22508598,178,126452.79775280898
4,8,2852,15,40,8895136,81,109816.49382716049
4,9,2852,23,94,19621697,220,89189.53181818181
4,10,2852,19,65,13746274,127,108238.37795275591
4,11,4724,15,41,8969843,87,103101.64367816092
4,12,507,18,42,9441847,103,91668.41747572816
4,13,2852,22,128,25814237,203,127163.7290640394
4,14,4724,17,59,12647967,105,120456.82857142857
4,15,8685,21,85,17712958,189,93719.35449735449
4,16,2852,21,116,23391861,135,173273.04444444444
4,17,507,24,121,24507972,210,116704.62857142858
4,18,8685,22,116,23458926,158,148474.21518987342
