target_count,seed_index,seed_j,seed_meas,success,result_index,trial_count,L_BBHT,grover_iterations,termination,saturations,timer_hi,timer_lo,elapsed_us
4,60,2466151677,3041798003,1,507,18,84,84,0,0,0,17163968,17163968
4,61,451719264,2622774970,1,507,22,123,123,0,0,0,24903276,24903276
4,62,2440531139,3172801472,1,2852,23,153,153,0,0,0,30310376,30310376
4,63,3870812139,3577911438,1,2852,18,54,54,0,0,0,11815652,11815652
4,64,1735398476,3537094375,1,507,19,64,64,0,0,0,13489850,13489850
4,65,3321930312,169740356,1,8685,23,131,131,0,0,0,26233936,26233936
4,66,514127920,787542670,1,4724,25,172,172,0,0,0,33841178,33841178
4,67,1670776051,2145406851,1,8685,16,30,30,0,0,0,7096546,7096546
4,68,1846037124,3057889662,1,2852,21,81,81,0,0,0,17000436,17000436
4,69,1031783542,1182628420,1,8685,22,106,106,0,0,0,21552016,21552016
4,70,3989452917,4021149982,1,2852,23,119,119,0,0,0,23999306,23999306
4,71,3095597597,157050764,1,2852,22,124,124,0,0,0,24972042,24972042
4,72,2900502423,3158452890,1,507,12,15,15,0,0,0,3886889,3886889
4,73,4023588653,2351706675,1,2852,20,66,66,0,0,0,14143198,14143198
4,74,3869953461,2132546954,1,507,21,145,145,0,0,0,28500066,28500066
4,75,1701234072,3397405440,1,2852,9,9,9,0,0,0,2632789,2632789
4,76,1315204509,3417201344,1,2852,16,47,47,0,0,0,10155163,10155163
4,77,98049391,638337043,1,507,18,67,67,0,0,0,13934446,13934446
4,78,538506915,1462290420,1,4724,25,177,177,0,0,0,34877023,34877023
4,79,1905180428,1300055564,1,2852,22,90,90,0,0,0,18750717,18750717
4,80,69898007,546550772,1,8685,24,175,175,0,0,0,34370060,34370060
4,81,4229723997,901587185,1,8685,9,12,12,0,0,0,3104478,3104478
4,82,381238115,2103483301,1,8685,12,18,18,0,0,0,4609495,4609495
4,83,2363556494,2975000559,1,8685,14,23,23,0,0,0,5708702,5708702
4,84,2277169536,2109667991,1,4724,21,132,132,0,0,0,26291123,26291123
4,85,3594356467,4114193610,1,4724,20,91,91,0,0,0,18642038,18642038
4,86,4004225282,22417344,1,8685,21,91,91,0,0,0,18787391,18787391
4,87,3254707387,3353423192,1,4724,19,89,89,0,0,0,18170832,18170832
4,88,117950938,4131693561,1,8685,16,48,48,0,0,0,10369009,10369009
4,89,3725433904,1487072911,1,507,16,41,41,0,0,0,9173825,9173825
4,90,2094067655,2671271163,1,8685,18,54,54,0,0,0,11747431,11747431
4,91,3838529702,2496739113,1,507,17,53,53,0,0,0,11432877,11432877
4,92,2693276185,418864420,1,2852,11,13,13,0,0,0,3536139,3536139
4,93,3291866866,4149891772,1,8685,20,96,96,0,0,0,19636068,19636068
4,94,18572272,178471750,1,4724,19,71,71,0,0,0,14842556,14842556
4,95,457535095,3997568916,1,8685,17,47,47,0,0,0,10345541,10345541
4,96,268994056,4014048049,1,8685,19,74,74,0,0,0,15359616,15359616
4,97,1875886930,4177174348,1,2852,22,124,124,0,0,0,24866374,24866374
4,98,4217403311,1899337129,1,8685,20,102,102,0,0,0,20630338,20630338
4,99,3337336622,150860041,1,8685,16,42,42,0,0,0,9312837,9312837
16,0,2065550767,607587826,1,4512,11,15,15,0,0,0,3922596,3922596
16,1,981837020,2746853941,1,507,15,23,23,0,0,0,5665085,5665085
16,2,1633855666,2266769263,1,10593,17,56,56,0,0,0,11926964,11926964
16,3,3282944846,4122538539,1,5281,18,56,56,0,0,0,12081624,12081624
16,4,732984319,1065588451,1,4512,14,27,27,0,0,0,6369225,6369225
16,5,3663223475,2803464919,1,10839,15,18,18,0,0,0,4793761,4793761
16,6,248580544,1459736146,1,3947,17,68,68,0,0,0,14080809,14080809
16,7,271503219,1405575467,1,5281,12,25,25,0,0,0,5724634,5724634
16,8,3475617441,891492996,1,2852,14,32,32,0,0,0,7358640,7358640
16,9,3298605890,3500391352,1,3947,12,20,20,0,0,0,5018770,5018770
16,10,1287986467,3993909940,1,14405,15,35,35,0,0,0,7876105,7876105
16,11,4192774778,839435034,1,1721,17,57,57,0,0,0,12022958,12022958
16,12,3718819921,3356515485,1,5281,16,28,28,0,0,0,6733363,6733363
16,13,2885358015,4125017950,1,10593,16,43,43,0,0,0,9656953,9656953
16,14,543397905,1802140743,1,4724,19,71,71,0,0,0,15075143,15075143
16,15,2893196498,3397696620,1,14405,21,85,85,0,0,0,17731056,17731056
16,16,1235409529,3778504485,1,10931,13,30,30,0,0,0,6845069,6845069
16,17,1671752151,1634130852,1,5281,11,13,13,0,0,0,3542688,3542688
16,18,2307125506,1140547971,1,5281,14,27,27,0,0,0,6352766,6352766
16,19,3060902520,3380271266,1,10931,21,82,82,0,0,0,17188834,17188834
16,20,3672856170,2560514877,1,10931,17,58,58,0,0,0,12417759,12417759
16,21,4128775168,2739252299,1,7786,19,67,67,0,0,0,14191712,14191712
16,22,1310251090,2693365983,1,491,15,37,37,0,0,0,8222415,8222415
16,23,2687880890,1629349060,1,8685,12,21,21,0,0,0,5276331,5276331
16,24,3259068132,1931736185,1,7786,16,47,47,0,0,0,10256373,10256373
16,25,4225432541,2696990511,1,491,9,6,6,0,0,0,1942292,1942292
16,26,2755641159,2380888848,1,4512,15,29,29,0,0,0,6719849,6719849
16,27,1746008001,3406234698,1,3947,14,32,32,0,0,0,7322056,7322056
16,28,1628298796,2364923577,1,5281,11,17,17,0,0,0,4227608,4227608
16,29,2183404423,3152183097,1,7786,14,30,30,0,0,0,6957261,6957261
16,30,1214542992,3935654379,1,3947,15,26,26,0,0,0,6219854,6219854
16,31,1675574143,2830129121,1,2852,14,35,35,0,0,0,7865856,7865856
16,32,1127294395,841088752,1,5281,21,70,70,0,0,0,14905281,14905281
16,33,2034482752,1715596921,1,491,13,23,23,0,0,0,5487058,5487058
16,34,650719826,1734158600,1,8685,11,17,17,0,0,0,4249090,4249090
16,35,3689147721,2815421014,1,10593,15,30,30,0,0,0,7093375,7093375
16,36,3270286260,3217075870,1,10931,7,5,5,0,0,0,1747263,1747263
16,37,3891037529,812672172,1,491,2,1,1,0,0,0,348473,348473
16,38,3434646356,753926488,1,15288,15,40,40,0,0,0,8939502,8939502
16,39,3037914788,731803788,1,15288,18,71,71,0,0,0,14886322,14886322
16,40,2116828546,2795483541,1,507,18,48,48,0,0,0,10584458,10584458
16,41,1488184749,597824083,1,491,14,29,29,0,0,0,6688703,6688703
16,42,2584200203,1051168140,1,4512,17,57,57,0,0,0,12185421,12185421
16,43,4059669835,2063653729,1,10839,8,6,6,0,0,0,1876140,1876140
16,44,4221968685,3099080042,1,2852,20,93,93,0,0,0,18909003,18909003
16,45,480642581,3612588106,1,7786,12,21,21,0,0,0,4960219,4960219
16,46,2693122366,431509581,1,5281,18,68,68,0,0,0,14390287,14390287
16,47,404293123,2902735026,1,1801,15,30,30,0,0,0,6992459,6992459
16,48,3239328888,3151672269,1,15288,13,13,13,0,0,0,3838004,3838004
