m,seed_idx,mode,result_index,trial,l_bbht,iter,cycles,cfgerr
64,16,dram,10839,13,30,0,14303,0
64,17,dram,6247,7,6,0,8532,0
64,18,dram,14542,9,8,0,10379,0
64,19,dram,4724,11,16,0,13054,0
64,20,dram,14542,13,20,0,15614,0
64,21,dram,11647,13,18,0,13823,0
64,22,dram,4724,8,6,0,8424,0
64,23,dram,16090,10,13,0,13564,0
64,24,dram,2888,3,2,0,3108,0
64,25,dram,3073,6,3,0,6517,0
64,26,dram,8225,12,13,0,12778,0
64,27,dram,173,10,11,0,11079,0
64,28,dram,10593,10,14,0,12703,0
64,29,dram,14542,7,6,0,8934,0
64,30,dram,3903,11,11,0,11613,0
64,31,dram,160,11,19,0,14343,0
64,32,dram,4720,2,1,0,2781,0
64,33,dram,160,4,1,0,4250,0
64,34,dram,6247,10,13,0,12676,0
64,35,dram,7400,13,18,0,15441,0
64,36,dram,5531,14,23,0,16792,0
64,37,dram,8225,16,28,0,20706,0
64,38,dram,10931,10,17,0,13570,0
64,39,dram,2888,11,13,0,14448,0
64,40,dram,11272,10,9,0,11240,0
64,41,dram,4512,6,5,0,7690,0
64,42,dram,507,10,8,0,11775,0
64,43,dram,11272,10,12,0,13161,0
64,44,dram,7400,11,8,0,12745,0
64,45,dram,7786,11,14,0,12680,0
64,46,dram,6247,9,10,0,10262,0
64,47,dram,5200,15,30,1,18814,0
64,48,dram,15288,13,13,0,15631,0
64,49,dram,10234,11,11,0,13485,0
64,50,dram,1038,16,32,0,17841,0
64,51,dram,14405,8,10,0,9816,0
64,52,dram,16090,16,43,3,25612,0
64,53,dram,15469,13,21,0,16547,0
64,54,dram,14405,9,13,0,10687,0
64,55,dram,11647,2,1,0,2981,0
64,56,dram,7786,7,4,0,7904,0
64,57,dram,3876,12,15,0,11407,0
64,58,dram,8225,5,4,0,6367,0
64,59,dram,8225,11,14,0,14323,0
64,60,dram,3903,2,1,0,2540,0
64,61,dram,13012,10,13,0,12607,0
64,62,dram,15288,5,4,0,6059,0
64,63,dram,14567,10,11,0,11479,0
64,64,dram,1801,10,10,0,10685,0
64,65,dram,26,15,28,0,17017,0
64,66,dram,9302,13,26,0,14093,0
64,67,dram,682,11,15,0,12782,0
64,68,dram,1825,12,24,0,13613,0
64,69,dram,8225,15,23,0,17868,0
64,70,dram,5531,15,40,0,17945,0
64,71,dram,2852,16,27,0,20102,0
64,72,dram,13048,13,20,0,15113,0
64,73,dram,701,17,35,0,21492,0
64,74,dram,507,16,48,0,18150,0
64,75,dram,10812,7,5,0,8158,0
64,76,dram,1801,15,36,0,18928,0
64,77,dram,701,8,8,0,9042,0
64,78,dram,5281,6,5,0,7559,0
64,79,dram,8089,16,43,0,20233,0
64,80,dram,8799,8,4,0,8752,0
64,81,dram,7786,7,6,0,7922,0
64,82,dram,10234,11,15,0,12089,0
64,83,dram,5270,14,23,0,18408,0
64,84,dram,14494,3,1,0,3636,0
64,85,dram,5200,10,13,0,11469,0
64,86,dram,586,12,19,0,15026,0
64,87,dram,10593,13,23,0,15488,0
64,88,dram,7786,13,25,0,14681,0
