m,seed_idx,mode,result_index,trial,l_bbht,iter,cycles,cfgerr
16,28,dram,5281,11,17,0,14027,0
16,29,dram,7786,14,30,0,15832,0
16,30,dram,3947,15,26,0,16813,0
16,31,dram,2852,14,35,0,18450,0
16,32,dram,5281,21,70,0,25157,0
16,33,dram,491,13,23,0,14299,0
16,34,dram,8685,11,17,0,13735,0
16,35,dram,10593,15,30,0,18418,0
16,36,dram,10931,7,5,0,8134,0
16,37,dram,491,2,1,0,2342,0
16,38,dram,15288,15,40,0,19734,0
16,39,dram,15288,18,71,0,23617,0
16,40,dram,507,18,48,0,21262,0
16,41,dram,491,14,29,0,17253,0
16,42,dram,4512,17,57,0,21357,0
16,43,dram,10839,8,6,0,10312,0
16,44,dram,2852,20,93,0,23740,0
16,45,dram,7786,12,21,0,14561,0
16,46,dram,5281,18,68,0,22480,0
16,47,dram,1801,15,30,0,17216,0
16,48,dram,15288,13,13,0,15708,0
16,49,dram,15288,16,44,0,19738,0
16,50,dram,8685,18,48,0,20809,0
16,51,dram,10931,16,43,0,20122,0
16,52,dram,10931,16,43,0,20815,0
16,53,dram,1801,17,33,0,22099,0
16,54,dram,5281,22,121,0,27847,0
16,55,dram,10931,16,33,0,21032,0
16,56,dram,10931,10,10,0,12045,0
16,57,dram,7786,17,61,0,18074,0
16,58,dram,1721,15,37,0,19840,0
16,59,dram,7786,16,49,0,20519,0
16,60,dram,7786,18,84,0,22684,0
16,61,dram,14405,21,83,0,27764,0
16,62,dram,491,19,77,0,23385,0
16,63,dram,7786,16,42,0,20592,0
16,64,dram,10931,16,32,0,17750,0
16,65,dram,10839,21,67,0,24956,0
16,66,dram,491,15,45,0,16651,0
16,67,dram,8685,16,30,0,19521,0
16,68,dram,3947,21,81,0,25396,0
16,69,dram,5281,17,36,0,20455,0
16,70,dram,2852,4,3,0,4002,0
16,71,dram,2852,16,27,0,20263,0
16,72,dram,491,12,15,0,13730,0
16,73,dram,1721,17,35,0,21626,0
16,74,dram,10593,10,15,0,11462,0
16,75,dram,15288,14,31,0,16810,0
16,76,dram,2852,10,13,0,12200,0
16,77,dram,8685,15,31,0,17486,0
16,78,dram,15288,17,41,0,21437,0
16,79,dram,491,16,43,0,20459,0
16,80,dram,491,12,16,0,14188,0
16,81,dram,8685,9,12,0,10314,0
16,82,dram,8685,12,18,0,13497,0
16,83,dram,2852,10,12,0,12579,0
16,84,dram,7786,18,66,0,22146,0
16,85,dram,2852,18,44,0,22464,0
16,86,dram,7786,15,36,0,19409,0
16,87,dram,7786,16,46,0,19615,0
16,88,dram,10593,16,48,0,18469,0
16,89,dram,5281,14,27,0,16751,0
16,90,dram,5281,18,54,0,23165,0
16,91,dram,10931,17,53,0,21022,0
16,92,dram,507,20,86,0,24438,0
16,93,dram,5281,15,45,0,16900,0
16,94,dram,1721,17,40,0,20444,0
16,95,dram,4724,10,12,0,12201,0
16,96,dram,4724,17,42,0,18866,0
16,97,dram,1801,16,33,0,18844,0
16,98,dram,1801,13,20,0,15794,0
16,99,dram,15288,21,101,0,26139,0
64,0,dram,2852,6,4,2,10814,0
64,1,dram,8685,13,14,3,18014,0
64,2,dram,8089,7,3,0,7674,0
64,3,dram,4876,13,19,0,15578,0
64,4,dram,4720,8,4,0,8861,0
64,5,dram,4876,18,40,6,28943,0
64,6,dram,7786,12,24,0,14179,0
64,7,dram,1801,12,25,0,14418,0
64,8,dram,3304,11,13,0,13122,0
64,9,dram,12001,1,0,0,1446,0
64,10,dram,8685,5,4,0,5511,0
64,11,dram,682,12,19,0,13985,0
64,12,dram,26,14,20,0,16548,0
64,13,dram,9302,11,17,0,12978,0
64,14,dram,14567,12,19,0,14015,0
64,15,dram,7400,10,7,0,10889,0
64,16,dram,10839,13,30,0,14358,0
64,17,dram,6247,7,6,0,8565,0
64,18,dram,14542,9,8,0,10412,0
64,19,dram,4724,11,16,0,13109,0
64,20,dram,14542,13,20,0,15680,0
64,21,dram,11647,13,18,0,13878,0
64,22,dram,4724,8,6,0,8457,0
64,23,dram,16090,10,13,0,13619,0
64,24,dram,2888,3,2,0,3119,0
64,25,dram,3073,6,3,0,6539,0
64,26,dram,8225,12,13,0,12833,0
64,27,dram,173,10,11,0,11123,0
64,28,dram,10593,10,14,0,12769,0
64,29,dram,14542,7,6,0,8967,0
64,30,dram,3903,11,11,0,11657,0
64,31,dram,160,11,19,0,14420,0
64,32,dram,4720,2,1,0,2792,0
64,33,dram,160,4,1,0,4261,0
64,34,dram,6247,10,13,0,12742,0
64,35,dram,7400,13,18,0,15496,0
64,36,dram,5531,14,23,0,16858,0
64,37,dram,8225,16,28,0,20827,0
64,38,dram,10931,10,17,0,13647,0
64,39,dram,2888,11,13,0,14514,0
64,40,dram,11272,10,9,0,11284,0
64,41,dram,4512,6,5,0,7734,0
64,42,dram,507,10,8,0,11819,0
64,43,dram,11272,10,12,0,13227,0
64,44,dram,7400,11,8,0,12800,0
64,45,dram,7786,11,14,0,12746,0
64,46,dram,6247,9,10,0,10306,0
64,47,dram,5200,15,30,1,18905,0
64,48,dram,15288,13,13,0,15675,0
64,49,dram,10234,11,11,0,13529,0
64,50,dram,1038,16,32,0,17918,0
64,51,dram,14405,8,10,0,9871,0
64,52,dram,16090,16,43,3,25731,0
64,53,dram,15469,13,21,0,16635,0
64,54,dram,14405,9,13,0,10742,0
64,55,dram,11647,2,1,0,2992,0
64,56,dram,7786,7,4,0,7926,0
64,57,dram,3876,12,15,0,11440,0
64,58,dram,8225,5,4,0,6389,0
64,59,dram,8225,11,14,0,14389,0
64,60,dram,3903,2,1,0,2551,0
64,61,dram,13012,10,13,0,12673,0
64,62,dram,15288,5,4,0,6081,0
64,63,dram,14567,10,11,0,11534,0
64,64,dram,1801,10,10,0,10718,0
64,65,dram,26,15,28,0,17094,0
64,66,dram,9302,13,26,0,14148,0
64,67,dram,682,11,15,0,12837,0
64,68,dram,1825,12,24,0,13668,0
64,69,dram,8225,15,23,0,17956,0
64,70,dram,5531,15,40,0,18055,0
64,71,dram,2852,16,27,0,20201,0
64,72,dram,13048,13,20,0,15190,0
64,73,dram,701,17,35,0,21591,0
64,74,dram,507,16,48,0,18238,0
64,75,dram,10812,7,5,0,8180,0
64,76,dram,1801,15,36,0,19038,0
64,77,dram,701,8,8,0,9086,0
64,78,dram,5281,6,5,0,7592,0
64,79,dram,8089,16,43,0,20354,0
64,80,dram,8799,8,4,0,8785,0
64,81,dram,7786,7,6,0,7955,0
64,82,dram,10234,11,15,0,12122,0
64,83,dram,5270,14,23,0,18485,0
64,84,dram,14494,3,1,0,3647,0
64,85,dram,5200,10,13,0,11513,0
64,86,dram,586,12,19,0,15103,0
64,87,dram,10593,13,23,0,15554,0
64,88,dram,7786,13,25,0,14747,0
64,89,dram,10931,10,13,0,11649,0
64,90,dram,16090,13,12,0,16172,0
64,91,dram,13048,14,18,0,17335,0
64,92,dram,5341,3,1,0,3747,0
64,93,dram,13012,10,14,0,10644,0
64,94,dram,507,13,21,0,15125,0
64,95,dram,507,20,75,3,28768,0
64,96,dram,13012,14,21,0,15619,0
64,97,dram,1801,16,33,0,18840,0
64,98,dram,491,10,7,0,12193,0
64,99,dram,5531,6,4,0,7324,0
256,0,dram,15288,8,7,3,15056,0
256,1,dram,5849,5,2,0,5251,0
256,2,dram,8081,7,3,0,7671,0
256,3,dram,16060,9,8,1,11593,0
256,4,dram,12680,12,17,3,18719,0
256,5,dram,7233,10,5,0,10128,0
256,6,dram,3716,7,7,0,7634,0
256,7,dram,3545,8,8,0,9405,0
256,8,dram,11907,10,8,0,11878,0
256,9,dram,12001,1,0,0,1446,0
256,10,dram,5451,4,2,0,4143,0
256,11,dram,873,12,19,0,13472,0
256,12,dram,90,5,3,0,6087,0
256,13,dram,7326,6,5,0,6534,0
256,14,dram,1930,6,7,0,6657,0
256,15,dram,13448,9,3,0,9541,0
256,16,dram,12329,6,4,0,6678,0
256,17,dram,6247,7,6,0,8539,0
256,18,dram,4389,7,4,0,7344,0
256,19,dram,13749,7,3,0,8027,0
256,20,dram,6940,9,9,0,11394,0
256,21,dram,2302,9,4,0,8725,0
256,22,dram,7844,9,7,0,9725,0
256,23,dram,6733,5,4,0,6429,0
256,24,dram,4724,8,10,0,8531,0
256,25,dram,9555,12,14,0,14034,0
256,26,dram,6702,9,6,0,8630,0
256,27,dram,10532,6,4,0,6435,0
256,28,dram,314,8,7,0,10705,0
256,29,dram,14410,7,6,0,8977,0
256,30,dram,4956,9,7,0,9541,0
256,31,dram,15859,9,10,0,12607,0
256,32,dram,11246,10,12,0,11094,0
256,33,dram,825,8,8,0,8768,0
256,34,dram,10842,7,5,0,8754,0
256,35,dram,9972,6,6,0,7654,0
256,36,dram,16297,6,3,0,7219,0
256,37,dram,1456,5,4,0,6297,0
256,38,dram,11990,6,5,0,8071,0
256,39,dram,10839,4,2,0,5265,0
256,40,dram,586,5,4,0,5796,0
256,41,dram,7400,5,4,0,6500,0
