m,seed_idx,mode,result_index,trial,l_bbht,iter,cycles,cfgerr
4,2,ckpt,2852,19,89,24,13182,0
4,3,normal,2852,20,101,101,36150,0
4,3,ckpt,2852,20,101,29,15096,0
4,4,normal,4724,16,47,47,19949,0
4,4,ckpt,4724,16,47,11,8698,0
4,5,normal,2852,20,72,72,28557,0
4,5,ckpt,2852,20,72,18,12006,0
4,6,normal,507,9,14,14,7905,0
4,6,ckpt,507,9,14,4,4364,0
4,7,normal,507,21,112,112,39495,0
4,7,ckpt,507,21,112,36,17274,0
4,8,normal,2852,15,40,40,17674,0
4,8,ckpt,2852,15,40,8,7645,0
4,9,normal,2852,23,94,94,35752,0
4,9,ckpt,2852,23,94,40,21476,0
4,10,normal,2852,19,65,65,26001,0
4,10,ckpt,2852,19,65,20,12200,0
4,11,normal,4724,15,41,41,17833,0
4,11,ckpt,4724,15,41,10,8198,0
4,12,normal,507,18,42,42,19524,0
4,12,ckpt,507,18,42,12,9770,0
4,13,normal,2852,22,128,128,44341,0
4,13,ckpt,2852,22,128,44,19798,0
4,14,normal,4724,17,59,59,23583,0
4,14,ckpt,4724,17,59,14,9964,0
4,15,normal,8685,21,85,85,32324,0
4,15,ckpt,8685,21,85,39,18424,0
4,16,normal,2852,21,116,116,40549,0
4,16,ckpt,2852,21,116,21,13063,0
4,17,normal,507,24,121,121,43302,0
4,17,ckpt,507,24,121,43,20419,0
4,18,normal,8685,22,116,116,41008,0
4,18,ckpt,8685,22,116,28,15329,0
4,19,normal,507,21,82,82,31454,0
4,19,ckpt,507,21,82,33,16110,0
4,20,normal,507,22,112,112,40021,0
4,20,ckpt,507,22,112,38,18018,0
4,21,normal,2852,9,4,4,5293,0
4,21,ckpt,2852,9,4,4,4401,0
4,22,normal,507,15,37,37,16859,0
4,22,ckpt,507,15,37,9,7865,0
4,23,normal,8685,12,21,21,11280,0
4,23,ckpt,8685,12,21,7,6310,0
4,24,normal,8685,9,14,14,7963,0
4,24,ckpt,8685,9,14,4,4420,0
4,25,normal,4724,19,77,77,29320,0
4,25,ckpt,4724,19,77,22,12791,0
4,26,normal,2852,21,83,83,31756,0
4,26,ckpt,2852,21,83,22,13223,0
4,27,normal,507,19,77,77,29333,0
4,27,ckpt,507,19,77,22,12823,0
4,28,normal,2852,23,142,142,48307,0
4,28,ckpt,2852,23,142,32,16718,0
4,29,normal,2852,18,62,62,24890,0
4,29,ckpt,2852,18,62,21,12135,0
4,30,normal,2852,20,80,80,30505,0
4,30,ckpt,2852,20,80,26,14379,0
4,31,normal,4724,10,14,14,8415,0
4,31,ckpt,4724,10,14,4,4745,0
4,32,normal,4724,21,70,70,28374,0
4,32,ckpt,4724,21,70,26,14350,0
4,33,normal,8685,20,98,98,35271,0
4,33,ckpt,8685,20,98,31,15309,0
4,34,normal,8685,11,17,17,9610,0
4,34,ckpt,8685,11,17,4,5026,0
4,35,normal,8685,18,73,73,27831,0
4,35,ckpt,8685,18,73,17,11225,0
4,36,normal,4724,17,47,47,20562,0
4,36,ckpt,4724,17,47,18,14044,0
4,37,normal,507,20,85,85,31953,0
4,37,ckpt,507,20,85,32,16013,0
4,38,normal,8685,16,54,54,21839,0
4,38,ckpt,8685,16,54,14,9489,0
