m,seed_idx,mode,result_index,trial,l_bbht,iter,cycles,cfgerr
16,15,dram,14405,21,85,16,73428,0
16,16,dram,10931,13,30,0,17100,0
16,17,dram,5281,11,13,0,16013,0
16,18,dram,5281,14,27,0,19561,0
16,19,dram,10931,21,82,0,32869,0
16,20,dram,10931,17,58,0,26664,0
16,21,dram,7786,19,67,0,27160,0
16,22,dram,491,15,37,0,23211,0
16,23,dram,8685,12,21,0,20340,0
16,24,dram,7786,16,47,0,26413,0
16,25,dram,491,9,6,0,12407,0
16,26,dram,4512,15,29,0,19627,0
16,27,dram,3947,14,32,0,19602,0
16,28,dram,5281,11,17,0,17737,0
16,29,dram,7786,14,30,0,19012,0
16,30,dram,3947,15,26,0,20523,0
16,31,dram,2852,14,35,0,23220,0
16,32,dram,5281,21,70,0,31517,0
16,33,dram,491,13,23,0,17479,0
16,34,dram,8685,11,17,0,17445,0
16,35,dram,10593,15,30,0,21598,0
16,36,dram,10931,7,5,0,9194,0
16,37,dram,491,2,1,0,2872,0
16,38,dram,15288,15,40,0,25034,0
16,39,dram,15288,18,71,0,29447,0
16,40,dram,507,18,48,0,27092,0
16,41,dram,491,14,29,0,21493,0
16,42,dram,4512,17,57,0,26657,0
16,43,dram,10839,8,6,0,12432,0
16,44,dram,2852,20,93,0,30630,0
16,45,dram,7786,12,21,0,18271,0
16,46,dram,5281,18,68,0,28310,0
16,47,dram,1801,15,30,0,21456,0
16,48,dram,15288,13,13,0,17828,0
16,49,dram,15288,16,44,0,23448,0
16,50,dram,8685,18,48,0,25579,0
16,51,dram,10931,16,43,0,26482,0
16,52,dram,10931,16,43,0,26115,0
16,53,dram,1801,17,33,0,27929,0
16,54,dram,5281,22,121,0,36327,0
16,55,dram,10931,16,33,0,27392,0
16,56,dram,10931,10,10,0,14165,0
16,57,dram,7786,17,61,0,22314,0
16,58,dram,1721,15,37,0,25140,0
16,59,dram,7786,16,49,0,25819,0
16,60,dram,7786,18,84,0,29574,0
16,61,dram,14405,21,83,0,35714,0
16,62,dram,491,19,77,0,29745,0
16,63,dram,7786,16,42,0,26422,0
16,64,dram,10931,16,32,0,21990,0
16,65,dram,10839,21,67,0,30786,0
16,66,dram,491,15,45,0,20361,0
16,67,dram,8685,16,30,0,24291,0
16,68,dram,3947,21,81,0,31226,0
16,69,dram,5281,17,36,0,25755,0
16,70,dram,2852,4,3,0,4532,0
16,71,dram,2852,16,27,0,25033,0
16,72,dram,491,12,15,0,16910,0
16,73,dram,1721,17,35,0,26396,0
16,74,dram,10593,10,15,0,14112,0
16,75,dram,15288,14,31,0,20520,0
16,76,dram,2852,10,13,0,15380,0
16,77,dram,8685,15,31,0,22256,0
16,78,dram,15288,17,41,0,27267,0
16,79,dram,491,16,43,0,26289,0
16,80,dram,491,12,16,0,17898,0
16,81,dram,8685,9,12,0,12434,0
16,82,dram,8685,12,18,0,15617,0
16,83,dram,2852,10,12,0,14699,0
16,84,dram,7786,18,66,0,28506,0
16,85,dram,2852,18,44,0,28294,0
16,86,dram,7786,15,36,0,24709,0
