target_count,seed_index,seed_j,seed_meas,backend,platform,timing_scope,success,termination_reason,result_index,trial_count,L_BBHT,actual_grover_iterations,cycle_count,elapsed_us,execution_seconds,wall_seconds,build_seconds,transpile_seconds
1,11,0xf9e8aa7a,0x3208c31a,RTL_FIXED_NORMAL,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,23,175,175,,,0.02849533688277006,0.02849533688277006,,
1,11,0xf9e8aa7a,0x3208c31a,SOFTWARE_K4H4,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,23,175,44,,,0.0507503030821681,0.0507503030821681,,
1,11,0xf9e8aa7a,0x3208c31a,SOFTWARE_K3H3,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,23,175,45,,,0.011755455983802676,0.011755455983802676,,
1,12,0xdda8b051,0xc8105c9d,NUMPY_FLOAT64,SERVER_CPU,NUMPY_CORE_ONLY,1,SUCCESS,507,18,42,,,,0.003371068276464939,0.007394757820293307,,
1,12,0xdda8b051,0xc8105c9d,QISKIT_AER_STATEVECTOR,SERVER_CPU,AER_EXECUTION_ONLY,1,SUCCESS,507,18,42,,,,0.49722550227306783,0.5064820579718798,0.0,0.0
1,12,0xdda8b051,0xc8105c9d,RTL_FIXED_NORMAL,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,18,42,42,,,0.010079452069476247,0.010079452069476247,,
1,12,0xdda8b051,0xc8105c9d,SOFTWARE_K4H4,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,18,42,10,,,0.006772488122805953,0.006772488122805953,,
1,12,0xdda8b051,0xc8105c9d,SOFTWARE_K3H3,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,18,42,12,,,0.006292494013905525,0.006292494013905525,,
1,13,0xabfb11bf,0xf5dec75e,NUMPY_FLOAT64,SERVER_CPU,NUMPY_CORE_ONLY,1,SUCCESS,507,24,218,,,,0.014788031578063965,0.01986724720336497,,
1,13,0xabfb11bf,0xf5dec75e,QISKIT_AER_STATEVECTOR,SERVER_CPU,AER_EXECUTION_ONLY,1,SUCCESS,507,24,218,,,,2.71313356468454,4.3937853788957,0.7989644708577543,0.7242960198782384
1,13,0xabfb11bf,0xf5dec75e,RTL_FIXED_NORMAL,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,24,218,218,,,0.03019847790710628,0.03019847790710628,,
1,13,0xabfb11bf,0xf5dec75e,SOFTWARE_K4H4,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,24,218,52,,,0.02117707789875567,0.02117707789875567,,
1,13,0xabfb11bf,0xf5dec75e,SOFTWARE_K3H3,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,24,218,55,,,0.01285277702845633,0.01285277702845633,,
1,14,0x20639811,0x6b6a7c47,NUMPY_FLOAT64,SERVER_CPU,NUMPY_CORE_ONLY,1,SUCCESS,507,21,133,,,,0.008389137918129563,0.012868765043094754,,
1,14,0x20639811,0x6b6a7c47,QISKIT_AER_STATEVECTOR,SERVER_CPU,AER_EXECUTION_ONLY,1,SUCCESS,507,21,133,,,,1.6493301969021559,3.302610191050917,0.6909294959623367,0.8227199171669781
1,14,0x20639811,0x6b6a7c47,RTL_FIXED_NORMAL,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,21,133,133,,,0.019141636788845062,0.019141636788845062,,
1,14,0x20639811,0x6b6a7c47,SOFTWARE_K4H4,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,21,133,36,,,0.04408754990436137,0.04408754990436137,,
1,14,0x20639811,0x6b6a7c47,SOFTWARE_K3H3,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,21,133,37,,,0.010285614989697933,0.010285614989697933,,
1,15,0xac72acd2,0xca84bc6c,NUMPY_FLOAT64,SERVER_CPU,NUMPY_CORE_ONLY,1,SUCCESS,507,27,333,,,,0.018598146038129926,0.024088492151349783,,
1,15,0xac72acd2,0xca84bc6c,QISKIT_AER_STATEVECTOR,SERVER_CPU,AER_EXECUTION_ONLY,1,SUCCESS,507,27,333,,,,3.8497662192676216,9.095875777071342,2.2703409320674837,2.5623883057851344
1,15,0xac72acd2,0xca84bc6c,RTL_FIXED_NORMAL,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,27,333,333,,,0.037216197000816464,0.037216197000816464,,
1,15,0xac72acd2,0xca84bc6c,SOFTWARE_K4H4,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,27,333,101,,,0.029785756021738052,0.029785756021738052,,
1,15,0xac72acd2,0xca84bc6c,SOFTWARE_K3H3,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,27,333,115,,,0.01988928089849651,0.01988928089849651,,
1,16,0x49a2da79,0xe1376725,NUMPY_FLOAT64,SERVER_CPU,NUMPY_CORE_ONLY,1,SUCCESS,507,26,308,,,,0.016372230369597673,0.021406473126262426,,
1,16,0x49a2da79,0xe1376725,QISKIT_AER_STATEVECTOR,SERVER_CPU,AER_EXECUTION_ONLY,1,SUCCESS,507,26,308,,,,3.7135483752936125,7.163297119084746,1.6479918209370226,1.4771878100000322
1,16,0x49a2da79,0xe1376725,RTL_FIXED_NORMAL,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,25,225,225,,,0.033182831946760416,0.033182831946760416,,
1,16,0x49a2da79,0xe1376725,SOFTWARE_K4H4,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,25,225,45,,,0.10315211489796638,0.10315211489796638,,
1,16,0x49a2da79,0xe1376725,SOFTWARE_K3H3,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,25,225,45,,,0.014253120170906186,0.014253120170906186,,
1,17,0x63a4e9d7,0x6166dba4,NUMPY_FLOAT64,SERVER_CPU,NUMPY_CORE_ONLY,1,SUCCESS,507,25,152,,,,0.009046862134709954,0.014408641960471869,,
1,17,0x63a4e9d7,0x6166dba4,QISKIT_AER_STATEVECTOR,SERVER_CPU,AER_EXECUTION_ONLY,1,SUCCESS,507,25,152,,,,1.7129198741167784,2.6306058058980852,0.4520094080362469,0.3672376580070704
1,17,0x63a4e9d7,0x6166dba4,RTL_FIXED_NORMAL,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,25,152,152,,,0.020605056080967188,0.020605056080967188,,
1,17,0x63a4e9d7,0x6166dba4,SOFTWARE_K4H4,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,25,152,35,,,0.018907163059338927,0.018907163059338927,,
1,17,0x63a4e9d7,0x6166dba4,SOFTWARE_K3H3,SERVER_CPU,PYTHON_FIXED_MODEL_WALL,1,SUCCESS,507,25,152,45,,,0.020397887099534273,0.020397887099534273,,
1,18,0x8983f102,0x43fb6183,NUMPY_FLOAT64,SERVER_CPU,NUMPY_CORE_ONLY,1,SUCCESS,507,23,151,,,,0.00866367993876338,0.01310670399107039,,
1,18,0x8983f102,0x43fb6183,QISKIT_AER_STATEVECTOR,SERVER_CPU,AER_EXECUTION_ONLY,1,SUCCESS,507,23,151,,,,1.8260927265509963,2.2692613690160215,0.1962642630096525,0.19846037379465997
