target_count,seed_index,numpy_qiskit_logical_match,fixed_fpga_normal_match,software_k4_fpga_k4_logical_match,software_k4_fpga_k4_physical_iter_match,software_k3_fpga_k3_logical_match,software_k3_fpga_k3_physical_iter_match,all_fpga_logical_match
16,73,True,True,True,True,True,True,True
16,74,True,True,True,True,True,True,True
16,75,True,True,True,True,True,True,True
16,76,True,True,True,True,True,True,True
16,77,True,True,True,True,True,True,True
16,78,True,True,True,True,True,True,True
16,79,True,True,True,True,True,True,True
16,80,True,True,True,True,True,True,True
16,81,True,True,True,True,True,True,True
16,82,True,True,True,True,True,True,True
16,83,True,True,True,True,True,True,True
16,84,True,True,True,True,True,True,True
16,85,True,True,True,True,True,True,True
16,86,True,True,True,True,True,True,True
16,87,True,True,True,True,True,True,True
16,88,True,True,True,True,True,True,True
16,89,True,True,True,True,True,True,True
16,90,True,True,True,True,True,True,True
16,91,True,True,True,True,True,True,True
16,92,True,True,True,True,True,True,True
16,93,True,True,True,True,True,True,True
16,94,True,True,True,True,True,True,True
16,95,True,True,True,True,True,True,True
16,96,True,True,True,True,True,True,True
16,97,True,True,True,True,True,True,True
16,98,True,True,True,True,True,True,True
16,99,True,True,True,True,True,True,True
64,0,True,True,True,True,True,True,True
64,1,True,True,True,True,True,True,True
64,2,True,True,True,True,True,True,True
64,3,True,True,True,True,True,True,True
64,4,True,True,True,True,True,True,True
64,5,True,True,True,True,True,True,True
64,6,True,True,True,True,True,True,True
64,7,True,True,True,True,True,True,True
64,8,True,True,True,True,True,True,True
64,9,True,True,True,True,True,True,True
64,10,True,True,True,True,True,True,True
64,11,True,True,True,True,True,True,True
64,12,True,True,True,True,True,True,True
64,13,True,True,True,True,True,True,True
64,14,True,True,True,True,True,True,True
64,15,True,True,True,True,True,True,True
64,16,True,True,True,True,True,True,True
64,17,True,True,True,True,True,True,True
64,18,True,True,True,True,True,True,True
64,19,True,True,True,True,True,True,True
64,20,True,True,True,True,True,True,True
64,21,True,True,True,True,True,True,True
64,22,True,True,True,True,True,True,True
64,23,True,True,True,True,True,True,True
64,24,True,True,True,True,True,True,True
64,25,True,True,True,True,True,True,True
64,26,True,True,True,True,True,True,True
64,27,True,True,True,True,True,True,True
64,28,True,True,True,True,True,True,True
64,29,True,True,True,True,True,True,True
64,30,True,True,True,True,True,True,True
64,31,True,True,True,True,True,True,True
64,32,True,True,True,True,True,True,True
64,33,True,True,True,True,True,True,True
64,34,True,True,True,True,True,True,True
64,35,True,True,True,True,True,True,True
64,36,True,True,True,True,True,True,True
64,37,True,True,True,True,True,True,True
64,38,True,True,True,True,True,True,True
64,39,True,True,True,True,True,True,True
64,40,True,True,True,True,True,True,True
64,41,True,True,True,True,True,True,True
64,42,True,True,True,True,True,True,True
64,43,True,True,True,True,True,True,True
64,44,True,True,True,True,True,True,True
64,45,True,True,True,True,True,True,True
64,46,True,True,True,True,True,True,True
64,47,True,True,True,True,True,True,True
64,48,True,True,True,True,True,True,True
64,49,True,True,True,True,True,True,True
64,50,True,True,True,True,True,True,True
64,51,True,True,True,True,True,True,True
64,52,True,True,True,True,True,True,True
64,53,True,True,True,True,True,True,True
64,54,True,True,True,True,True,True,True
64,55,True,True,True,True,True,True,True
64,56,True,True,True,True,True,True,True
64,57,True,True,True,True,True,True,True
64,58,True,True,True,True,True,True,True
64,59,True,True,True,True,True,True,True
64,60,True,True,True,True,True,True,True
64,61,True,True,True,True,True,True,True
64,62,True,True,True,True,True,True,True
64,63,True,True,True,True,True,True,True
64,64,True,True,True,True,True,True,True
64,65,True,True,True,True,True,True,True
64,66,True,True,True,True,True,True,True
64,67,True,True,True,True,True,True,True
64,68,True,True,True,True,True,True,True
64,69,True,True,True,True,True,True,True
64,70,True,True,True,True,True,True,True
64,71,True,True,True,True,True,True,True
64,72,True,True,True,True,True,True,True
64,73,True,True,True,True,True,True,True
64,74,True,True,True,True,True,True,True
64,75,True,True,True,True,True,True,True
64,76,True,True,True,True,True,True,True
64,77,True,True,True,True,True,True,True
64,78,True,True,True,True,True,True,True
64,79,True,True,True,True,True,True,True
64,80,True,True,True,True,True,True,True
64,81,True,True,True,True,True,True,True
64,82,True,True,True,True,True,True,True
64,83,True,True,True,True,True,True,True
64,84,True,True,True,True,True,True,True
64,85,True,True,True,True,True,True,True
64,86,True,True,True,True,True,True,True
64,87,True,True,True,True,True,True,True
64,88,True,True,True,True,True,True,True
64,89,True,True,True,True,True,True,True
64,90,True,True,True,True,True,True,True
64,91,True,True,True,True,True,True,True
64,92,True,True,True,True,True,True,True
64,93,True,True,True,True,True,True,True
64,94,True,True,True,True,True,True,True
64,95,True,True,True,True,True,True,True
64,96,True,True,True,True,True,True,True
64,97,True,True,True,True,True,True,True
64,98,True,True,True,True,True,True,True
64,99,True,True,True,True,True,True,True
256,0,True,True,True,True,True,True,True
256,1,True,True,True,True,True,True,True
256,2,True,True,True,True,True,True,True
256,3,True,True,True,True,True,True,True
256,4,True,True,True,True,True,True,True
256,5,True,True,True,True,True,True,True
256,6,True,True,True,True,True,True,True
256,7,True,True,True,True,True,True,True
256,8,True,True,True,True,True,True,True
256,9,True,True,True,True,True,True,True
256,10,True,True,True,True,True,True,True
256,11,True,True,True,True,True,True,True
256,12,True,True,True,True,True,True,True
256,13,True,True,True,True,True,True,True
256,14,True,True,True,True,True,True,True
256,15,True,True,True,True,True,True,True
256,16,True,True,True,True,True,True,True
256,17,True,True,True,True,True,True,True
256,18,True,True,True,True,True,True,True
256,19,True,True,True,True,True,True,True
256,20,True,True,True,True,True,True,True
256,21,True,True,True,True,True,True,True
256,22,True,True,True,True,True,True,True
256,23,True,True,True,True,True,True,True
256,24,True,True,True,True,True,True,True
256,25,True,True,True,True,True,True,True
256,26,True,True,True,True,True,True,True
256,27,True,True,True,True,True,True,True
256,28,True,True,True,True,True,True,True
256,29,True,True,True,True,True,True,True
256,30,True,True,True,True,True,True,True
256,31,True,True,True,True,True,True,True
256,32,True,True,True,True,True,True,True
256,33,True,True,True,True,True,True,True
256,34,True,True,True,True,True,True,True
256,35,True,True,True,True,True,True,True
256,36,True,True,True,True,True,True,True
256,37,True,True,True,True,True,True,True
256,38,True,True,True,True,True,True,True
256,39,True,True,True,True,True,True,True
256,40,True,True,True,True,True,True,True
256,41,True,True,True,True,True,True,True
256,42,True,True,True,True,True,True,True
256,43,True,True,True,True,True,True,True
256,44,True,True,True,True,True,True,True
256,45,True,True,True,True,True,True,True
256,46,True,True,True,True,True,True,True
256,47,True,True,True,True,True,True,True
256,48,True,True,True,True,True,True,True
256,49,True,True,True,True,True,True,True
256,50,True,True,True,True,True,True,True
256,51,True,True,True,True,True,True,True
256,52,True,True,True,True,True,True,True
256,53,True,True,True,True,True,True,True
256,54,True,True,True,True,True,True,True
256,55,True,True,True,True,True,True,True
256,56,True,True,True,True,True,True,True
256,57,True,True,True,True,True,True,True
256,58,True,True,True,True,True,True,True
256,59,True,True,True,True,True,True,True
256,60,True,True,True,True,True,True,True
256,61,True,True,True,True,True,True,True
256,62,True,True,True,True,True,True,True
256,63,True,True,True,True,True,True,True
256,64,True,True,True,True,True,True,True
256,65,True,True,True,True,True,True,True
256,66,True,True,True,True,True,True,True
256,67,True,True,True,True,True,True,True
256,68,True,True,True,True,True,True,True
256,69,True,True,True,True,True,True,True
256,70,True,True,True,True,True,True,True
256,71,True,True,True,True,True,True,True
256,72,True,True,True,True,True,True,True
256,73,True,True,True,True,True,True,True
256,74,True,True,True,True,True,True,True
256,75,True,True,True,True,True,True,True
256,76,True,True,True,True,True,True,True
256,77,True,True,True,True,True,True,True
256,78,True,True,True,True,True,True,True
256,79,True,True,True,True,True,True,True
256,80,True,True,True,True,True,True,True
256,81,True,True,True,True,True,True,True
256,82,True,True,True,True,True,True,True
256,83,True,True,True,True,True,True,True
256,84,True,True,True,True,True,True,True
256,85,True,True,True,True,True,True,True
256,86,True,True,True,True,True,True,True
256,87,True,True,True,True,True,True,True
