target_count,seed_index,policy,software_actual_grover_iterations,fpga_actual_grover_iterations,delta,exact_match
4,93,K4H4,24,24,0,1
4,93,K3H3,25,25,0,1
4,94,K4H4,23,23,0,1
4,94,K3H3,27,27,0,1
4,95,K4H4,18,18,0,1
4,95,K3H3,18,18,0,1
4,96,K4H4,18,18,0,1
4,96,K3H3,18,18,0,1
4,97,K4H4,26,26,0,1
4,97,K3H3,28,28,0,1
4,98,K4H4,20,20,0,1
4,98,K3H3,20,20,0,1
4,99,K4H4,14,14,0,1
4,99,K3H3,14,14,0,1
16,0,K4H4,3,3,0,1
16,0,K3H3,3,3,0,1
16,1,K4H4,9,9,0,1
16,1,K3H3,9,9,0,1
16,2,K4H4,16,16,0,1
16,2,K3H3,16,16,0,1
16,3,K4H4,20,20,0,1
16,3,K3H3,21,21,0,1
16,4,K4H4,7,7,0,1
16,4,K3H3,7,7,0,1
16,5,K4H4,5,5,0,1
16,5,K3H3,5,5,0,1
16,6,K4H4,17,17,0,1
16,6,K3H3,18,18,0,1
16,7,K4H4,7,7,0,1
16,7,K3H3,7,7,0,1
16,8,K4H4,7,7,0,1
16,8,K3H3,7,7,0,1
16,9,K4H4,6,6,0,1
16,9,K3H3,6,6,0,1
16,10,K4H4,11,11,0,1
16,10,K3H3,11,11,0,1
16,11,K4H4,10,10,0,1
16,11,K3H3,11,11,0,1
16,12,K4H4,10,10,0,1
16,12,K3H3,12,12,0,1
16,13,K4H4,8,8,0,1
16,13,K3H3,10,10,0,1
16,14,K4H4,16,16,0,1
16,14,K3H3,17,17,0,1
16,15,K4H4,35,35,0,1
16,15,K3H3,39,39,0,1
16,16,K4H4,8,8,0,1
16,16,K3H3,8,8,0,1
16,17,K4H4,4,4,0,1
16,17,K3H3,4,4,0,1
16,18,K4H4,9,9,0,1
16,18,K3H3,9,9,0,1
16,19,K4H4,28,28,0,1
16,19,K3H3,33,33,0,1
16,20,K4H4,13,13,0,1
16,20,K3H3,13,13,0,1
16,21,K4H4,15,15,0,1
16,21,K3H3,18,18,0,1
16,22,K4H4,9,9,0,1
16,22,K3H3,9,9,0,1
16,23,K4H4,7,7,0,1
16,23,K3H3,7,7,0,1
16,24,K4H4,12,12,0,1
16,24,K3H3,15,15,0,1
16,25,K4H4,2,2,0,1
16,25,K3H3,2,2,0,1
16,26,K4H4,10,10,0,1
16,26,K3H3,10,10,0,1
16,27,K4H4,10,10,0,1
16,27,K3H3,10,10,0,1
16,28,K4H4,5,5,0,1
16,28,K3H3,5,5,0,1
16,29,K4H4,6,6,0,1
16,29,K3H3,6,6,0,1
16,30,K4H4,7,7,0,1
16,30,K3H3,7,7,0,1
16,31,K4H4,9,9,0,1
16,31,K3H3,9,9,0,1
16,32,K4H4,25,25,0,1
16,32,K3H3,26,26,0,1
16,33,K4H4,6,6,0,1
16,33,K3H3,6,6,0,1
16,34,K4H4,4,4,0,1
16,34,K3H3,4,4,0,1
16,35,K4H4,12,12,0,1
16,35,K3H3,12,12,0,1
16,36,K4H4,2,2,0,1
16,36,K3H3,2,2,0,1
16,37,K4H4,1,1,0,1
16,37,K3H3,1,1,0,1
16,38,K4H4,9,9,0,1
16,38,K3H3,9,9,0,1
16,39,K4H4,22,22,0,1
16,39,K3H3,22,22,0,1
16,40,K4H4,13,13,0,1
16,40,K3H3,13,13,0,1
16,41,K4H4,9,9,0,1
16,41,K3H3,9,9,0,1
16,42,K4H4,15,15,0,1
16,42,K3H3,15,15,0,1
16,43,K4H4,3,3,0,1
16,43,K3H3,3,3,0,1
16,44,K4H4,20,20,0,1
16,44,K3H3,21,21,0,1
16,45,K4H4,7,7,0,1
16,45,K3H3,7,7,0,1
16,46,K4H4,17,17,0,1
16,46,K3H3,18,18,0,1
16,47,K4H4,12,12,0,1
16,47,K3H3,13,13,0,1
16,48,K4H4,6,6,0,1
16,48,K3H3,6,6,0,1
