target,seed,seed_j_equal,seed_meas_equal,trial_count_equal,l_bbht_equal,success_equal,result_valid_equal,result_index_equal,timeout_equal,unexpected_error_equal,terminal_limit_equal,status_exact_equal,observed_logical_semantics_equal,normal_trial_count,h4_trial_count,normal_l_bbht,h4_l_bbht,normal_result_index,h4_result_index
64,6,1,1,1,1,1,1,1,1,1,1,1,1,12,12,24,24,7786,7786
64,7,1,1,1,1,1,1,1,1,1,1,1,1,12,12,25,25,1801,1801
64,8,1,1,1,1,1,1,1,1,1,1,1,1,11,11,13,13,3304,3304
64,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,12001,12001
64,10,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,4,8685,8685
64,11,1,1,1,1,1,1,1,1,1,1,1,1,12,12,19,19,682,682
64,12,1,1,1,1,1,1,1,1,1,1,1,1,14,14,20,20,26,26
64,13,1,1,1,1,1,1,1,1,1,1,1,1,11,11,17,17,9302,9302
64,14,1,1,1,1,1,1,1,1,1,1,1,1,12,12,19,19,14567,14567
64,15,1,1,1,1,1,1,1,1,1,1,1,1,10,10,7,7,7400,7400
64,16,1,1,1,1,1,1,1,1,1,1,1,1,13,13,30,30,10839,10839
64,17,1,1,1,1,1,1,1,1,1,1,1,1,7,7,6,6,6247,6247
64,18,1,1,1,1,1,1,1,1,1,1,1,1,9,9,8,8,14542,14542
64,19,1,1,1,1,1,1,1,1,1,1,1,1,11,11,16,16,4724,4724
64,20,1,1,1,1,1,1,1,1,1,1,1,1,13,13,20,20,14542,14542
64,21,1,1,1,1,1,1,1,1,1,1,1,1,13,13,18,18,11647,11647
64,22,1,1,1,1,1,1,1,1,1,1,1,1,8,8,6,6,4724,4724
64,23,1,1,1,1,1,1,1,1,1,1,1,1,10,10,13,13,16090,16090
64,24,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,2888,2888
64,25,1,1,1,1,1,1,1,1,1,1,1,1,6,6,3,3,3073,3073
64,26,1,1,1,1,1,1,1,1,1,1,1,1,12,12,13,13,8225,8225
64,27,1,1,1,1,1,1,1,1,1,1,1,1,10,10,11,11,173,173
64,28,1,1,1,1,1,1,1,1,1,1,1,1,10,10,14,14,10593,10593
64,29,1,1,1,1,1,1,1,1,1,1,1,1,7,7,6,6,14542,14542
64,30,1,1,1,1,1,1,1,1,1,1,1,1,11,11,11,11,3903,3903
64,31,1,1,1,1,1,1,1,1,1,1,1,1,11,11,19,19,160,160
64,32,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,4720,4720
64,33,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,160,160
64,34,1,1,1,1,1,1,1,1,1,1,1,1,10,10,13,13,6247,6247
64,35,1,1,1,1,1,1,1,1,1,1,1,1,13,13,18,18,7400,7400
64,36,1,1,1,1,1,1,1,1,1,1,1,1,14,14,23,23,5531,5531
64,37,1,1,1,1,1,1,1,1,1,1,1,1,16,16,28,28,8225,8225
64,38,1,1,1,1,1,1,1,1,1,1,1,1,10,10,17,17,10931,10931
64,39,1,1,1,1,1,1,1,1,1,1,1,1,11,11,13,13,2888,2888
64,40,1,1,1,1,1,1,1,1,1,1,1,1,10,10,9,9,11272,11272
64,41,1,1,1,1,1,1,1,1,1,1,1,1,6,6,5,5,4512,4512
64,42,1,1,1,1,1,1,1,1,1,1,1,1,10,10,8,8,507,507
64,43,1,1,1,1,1,1,1,1,1,1,1,1,10,10,12,12,11272,11272
64,44,1,1,1,1,1,1,1,1,1,1,1,1,11,11,8,8,7400,7400
64,45,1,1,1,1,1,1,1,1,1,1,1,1,11,11,14,14,7786,7786
64,46,1,1,1,1,1,1,1,1,1,1,1,1,9,9,10,10,6247,6247
64,47,1,1,1,1,1,1,1,1,1,1,1,1,15,15,30,30,5200,5200
64,48,1,1,1,1,1,1,1,1,1,1,1,1,13,13,13,13,15288,15288
64,49,1,1,1,1,1,1,1,1,1,1,1,1,11,11,11,11,10234,10234
256,0,1,1,1,1,1,1,1,1,1,1,1,1,8,8,7,7,15288,15288
256,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,2,2,5849,5849
256,2,1,1,1,1,1,1,1,1,1,1,1,1,7,7,3,3,8081,8081
256,3,1,1,1,1,1,1,1,1,1,1,1,1,9,9,8,8,16060,16060
256,4,1,1,1,1,1,1,1,1,1,1,1,1,12,12,17,17,12680,12680
256,5,1,1,1,1,1,1,1,1,1,1,1,1,10,10,5,5,7233,7233
256,6,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,3716,3716
256,7,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,8,3545,3545
256,8,1,1,1,1,1,1,1,1,1,1,1,1,10,10,8,8,11907,11907
256,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,12001,12001
256,10,1,1,1,1,1,1,1,1,1,1,1,1,4,4,2,2,5451,5451
256,11,1,1,1,1,1,1,1,1,1,1,1,1,12,12,19,19,873,873
256,12,1,1,1,1,1,1,1,1,1,1,1,1,5,5,3,3,90,90
256,13,1,1,1,1,1,1,1,1,1,1,1,1,6,6,5,5,7326,7326
256,14,1,1,1,1,1,1,1,1,1,1,1,1,6,6,7,7,1930,1930
256,15,1,1,1,1,1,1,1,1,1,1,1,1,9,9,3,3,13448,13448
256,16,1,1,1,1,1,1,1,1,1,1,1,1,6,6,4,4,12329,12329
256,17,1,1,1,1,1,1,1,1,1,1,1,1,7,7,6,6,6247,6247
256,18,1,1,1,1,1,1,1,1,1,1,1,1,7,7,4,4,4389,4389
256,19,1,1,1,1,1,1,1,1,1,1,1,1,7,7,3,3,13749,13749
256,20,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,6940,6940
256,21,1,1,1,1,1,1,1,1,1,1,1,1,9,9,4,4,2302,2302
256,22,1,1,1,1,1,1,1,1,1,1,1,1,9,9,7,7,7844,7844
256,23,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,4,6733,6733
256,24,1,1,1,1,1,1,1,1,1,1,1,1,8,8,10,10,4724,4724
256,25,1,1,1,1,1,1,1,1,1,1,1,1,12,12,14,14,9555,9555
256,26,1,1,1,1,1,1,1,1,1,1,1,1,9,9,6,6,6702,6702
256,27,1,1,1,1,1,1,1,1,1,1,1,1,6,6,4,4,10532,10532
256,28,1,1,1,1,1,1,1,1,1,1,1,1,8,8,7,7,314,314
256,29,1,1,1,1,1,1,1,1,1,1,1,1,7,7,6,6,14410,14410
256,30,1,1,1,1,1,1,1,1,1,1,1,1,9,9,7,7,4956,4956
256,31,1,1,1,1,1,1,1,1,1,1,1,1,9,9,10,10,15859,15859
256,32,1,1,1,1,1,1,1,1,1,1,1,1,10,10,12,12,11246,11246
256,33,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,8,825,825
256,34,1,1,1,1,1,1,1,1,1,1,1,1,7,7,5,5,10842,10842
256,35,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,9972,9972
256,36,1,1,1,1,1,1,1,1,1,1,1,1,6,6,3,3,16297,16297
256,37,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,4,1456,1456
256,38,1,1,1,1,1,1,1,1,1,1,1,1,6,6,5,5,11990,11990
256,39,1,1,1,1,1,1,1,1,1,1,1,1,4,4,2,2,10839,10839
256,40,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,4,586,586
256,41,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,4,7400,7400
256,42,1,1,1,1,1,1,1,1,1,1,1,1,10,10,8,8,507,507
256,43,1,1,1,1,1,1,1,1,1,1,1,1,6,6,3,3,160,160
256,44,1,1,1,1,1,1,1,1,1,1,1,1,11,11,8,8,7400,7400
256,45,1,1,1,1,1,1,1,1,1,1,1,1,6,6,4,4,8996,8996
256,46,1,1,1,1,1,1,1,1,1,1,1,1,8,8,6,6,15586,15586
256,47,1,1,1,1,1,1,1,1,1,1,1,1,9,9,6,6,56,56
256,48,1,1,1,1,1,1,1,1,1,1,1,1,11,11,7,7,10265,10265
256,49,1,1,1,1,1,1,1,1,1,1,1,1,9,9,6,6,5281,5281
