target,seed,normal_cycles,h4_cycles,delta_cycles,speedup,normal_iter,h4_iter,delta_iter
64,13,33053,17781,15272,1.8588943254035206,17,4,13
64,14,36155,17245,18910,2.096549724557843,19,6,13
64,15,20657,13091,7566,1.5779543197616683,7,4,3
64,16,48376,20265,28111,2.3871699975326917,30,8,22
64,17,15755,8684,7071,1.814256103178259,6,2,4
64,18,20182,12090,8092,1.669313482216708,8,4,4
64,19,31635,16331,15304,1.9371134651889046,16,6,10
64,20,38325,16988,21337,2.2560042382858487,20,5,15
64,21,36016,17632,18384,2.042649727767695,18,6,12
64,22,16162,9615,6547,1.6809152366094644,6,3,3
64,23,28015,15286,12729,1.8327227528457413,13,5,8
64,24,5687,3745,1942,1.518558077436582,2,1,1
64,25,10642,7176,3466,1.4829988851727982,3,2,1
64,26,28775,16061,12714,1.7916069983189091,13,6,7
64,27,25012,11245,13767,2.224277456647399,11,2,9
64,28,27671,13913,13758,1.988859340185438,14,5,9
64,29,16157,9081,7076,1.7792093381786147,6,2,4
64,30,25545,12303,13242,2.076322848085833,11,3,8
64,31,34475,15094,19381,2.28402014045316,19,5,14
64,32,3812,3413,399,1.1169059478464693,1,1,0
64,33,6311,4892,1419,1.2900654129190514,1,1,0
64,34,27127,13366,13761,2.0295525961394585,13,4,9
64,35,36086,19764,16322,1.8258449706537139,18,8,10
64,36,43117,22156,20961,1.946064271529157,23,9,14
64,37,50130,24337,25793,2.0598266014710114,28,7,21
64,38,31637,14778,16859,2.1408174313168225,17,5,12
64,39,28382,13074,15308,2.1708734893682116,13,3,10
64,40,22591,12959,9632,1.7432672274095224,9,4,5
64,41,12849,7315,5534,1.7565276828434724,5,2,3
64,42,21577,14012,7565,1.5398943762489294,8,5,3
64,43,25547,13852,11695,1.844282414091828,12,5,7
64,44,22546,12404,10142,1.8176394711383426,8,3,5
64,45,28163,12858,15305,2.190309534919894,14,4,10
64,46,22647,12491,10156,1.813065407093107,10,4,6
64,47,50818,25538,25280,1.989897407784478,30,12,18
64,48,31627,18404,13223,1.7184851119321887,13,6,7
64,49,26901,15727,11174,1.7104978699052584,11,5,6
256,0,18100,10518,7582,1.7208594789884009,7,3,4
256,1,8849,5889,2960,1.5026320258108337,2,1,1
256,2,12289,8315,3974,1.477931449188214,3,2,1
