target_count,seed_index,seed_j,seed_meas,mode,success,result_valid,result_index,trial_count,l_bbht,actual_iter,cycle_count,timer_hi,timer_lo,status,timeout,unexpected_error,terminal_limit,elapsed_us
1,74,0xe6aacdb5,0x7f1c158a,1,1,1,507,23,212,40,62866,0,634,0x0000080c,0,0,0,634
1,75,0x6566c598,0xca804b00,1,1,1,507,15,42,11,28398,0,289,0x0000080c,0,0,0,289
1,76,0x4e646d9d,0xcbae5ac0,1,1,1,507,17,64,18,33128,0,335,0x0000080c,0,0,0,335
1,77,0x05d81d6f,0x260c4013,1,1,1,507,22,113,26,45796,0,464,0x0000080c,0,0,0,464
1,78,0x2018f6a3,0x5728c7f4,1,1,1,507,31,430,90,125024,0,1255,0x0000080c,0,0,0,1255
1,79,0x718ebf0c,0x4d7d460c,1,1,1,507,24,138,51,76054,0,765,0x0000080c,0,0,0,765
1,80,0x042a8f17,0x2093b3f4,1,1,1,507,27,381,116,144125,0,1446,0x0000088c,0,0,0,1446
1,81,0xfc1c775d,0x35bd20f1,1,1,1,507,28,300,76,105213,0,1057,0x0000080c,0,0,0,1057
1,82,0x16b93b63,0x7d609ba5,1,1,1,507,27,336,112,140356,0,1408,0x0000080c,0,0,0,1408
1,83,0x8ce1028e,0xb152e7ef,1,1,1,507,20,110,31,51297,0,517,0x0000080c,0,0,0,517
1,84,0x87bad980,0x7dbefa97,1,1,1,507,26,277,86,112961,0,1135,0x0000080c,0,0,0,1135
1,85,0xd63d86f3,0xf5399cca,1,1,1,507,22,145,38,59844,0,603,0x0000080c,0,0,0,603
1,86,0xeeaba102,0x01560fc0,1,1,1,507,24,200,64,89204,0,896,0x0000080c,0,0,0,896
1,87,0xc1fee4bb,0xc7e12d58,1,1,1,507,23,191,52,73367,0,739,0x0000080c,0,0,0,739
1,88,0x0707c9da,0xf644a3f9,1,1,1,507,24,199,65,89495,0,900,0x0000080c,0,0,0,900
1,89,0xde0d9c30,0x58a2ee8f,1,1,1,507,16,41,8,22380,0,229,0x0000080c,0,0,0,229
1,90,0x7cd0efc7,0x9f385cfb,1,1,1,507,24,174,69,92917,0,935,0x0000080c,0,0,0,935
1,91,0xe4cb50a6,0x94d13729,1,1,1,507,17,53,18,33878,0,344,0x0000080c,0,0,0,344
1,92,0xa0882219,0x18f75d24,1,1,1,507,20,86,23,41530,0,421,0x0000080c,0,0,0,421
