m,seed_idx,mode,result_index,trial,l_bbht,iter,cycles,policy_cycles,policy_stall,policy_actions,cold,spec,mismatch
1,97,normal,507,21,102,102,36836,0,0,0,0,0,0
1,97,k4,507,21,102,28,18616,7726,3723,763,1,21,0
1,98,normal,507,20,102,102,36364,0,0,0,0,0,0
1,98,k4,507,20,102,20,12484,3665,197,516,1,20,0
1,99,normal,507,27,263,263,82300,0,0,0,0,0,0
1,99,k4,507,27,263,138,46497,5763,401,935,1,27,0
4,0,normal,8685,21,119,119,41310,0,0,0,0,0,0
4,0,k4,8685,21,119,38,17656,3784,281,594,1,21,0
4,1,normal,8685,23,132,132,45827,0,0,0,0,0,0
4,1,k4,8685,23,132,43,19752,4436,228,727,1,23,0
4,2,normal,2852,19,89,89,32387,0,0,0,0,0,0
4,2,k4,2852,19,89,24,13182,3040,242,427,1,19,0
4,3,normal,2852,20,101,101,36150,0,0,0,0,0,0
4,3,k4,2852,20,101,29,15096,3901,371,595,1,20,0
4,4,normal,4724,16,47,47,19949,0,0,0,0,0,0
4,4,k4,4724,16,47,11,8698,2743,138,363,1,16,0
4,5,normal,2852,20,72,72,28557,0,0,0,0,0,0
4,5,k4,2852,20,72,18,12006,3609,106,605,1,20,0
4,6,normal,507,9,14,14,7905,0,0,0,0,0,0
4,6,k4,507,9,14,4,4364,1320,95,172,1,9,0
4,7,normal,507,21,112,112,39495,0,0,0,0,0,0
4,7,k4,507,21,112,36,17274,4298,254,711,1,21,0
4,8,normal,2852,15,40,40,17674,0,0,0,0,0,0
4,8,k4,2852,15,40,8,7645,3091,181,520,1,15,0
4,9,normal,2852,23,94,94,35752,0,0,0,0,0,0
4,9,k4,2852,23,94,40,21476,7417,2625,589,1,23,0
4,10,normal,2852,19,65,65,26001,0,0,0,0,0,0
4,10,k4,2852,19,65,20,12200,3767,217,576,1,19,0
4,11,normal,4724,15,41,41,17833,0,0,0,0,0,0
4,11,k4,4724,15,41,10,8198,2536,308,327,1,15,0
4,12,normal,507,18,42,42,19524,0,0,0,0,0,0
4,12,k4,507,18,42,12,9770,2844,299,371,1,18,0
4,13,normal,2852,22,128,128,44341,0,0,0,0,0,0
4,13,k4,2852,22,128,44,19798,4981,181,790,1,22,0
4,14,normal,4724,17,59,59,23583,0,0,0,0,0,0
4,14,k4,4724,17,59,14,9964,2612,284,337,1,17,0
4,15,normal,8685,21,85,85,32324,0,0,0,0,0,0
4,15,k4,8685,21,85,39,18424,4503,496,729,1,21,0
4,16,normal,2852,21,116,116,40549,0,0,0,0,0,0
4,16,k4,2852,21,116,21,13063,4175,157,639,1,21,0
4,17,normal,507,24,121,121,43302,0,0,0,0,0,0
4,17,k4,507,24,121,43,20419,5357,493,896,1,24,0
4,18,normal,8685,22,116,116,41008,0,0,0,0,0,0
4,18,k4,8685,22,116,28,15329,4354,232,746,1,22,0
4,19,normal,507,21,82,82,31454,0,0,0,0,0,0
4,19,k4,507,21,82,33,16110,3892,109,546,1,21,0
4,20,normal,507,22,112,112,40021,0,0,0,0,0,0
4,20,k4,507,22,112,38,18018,3585,200,464,1,22,0
4,21,normal,2852,9,4,4,5293,0,0,0,0,0,0
4,21,k4,2852,9,4,4,4401,869,94,73,1,9,0
