target_count,seed_index,seed_j,seed_meas,mode,success,result_valid,result_index,trial_count,l_bbht,actual_iter,cycle_count,timer_hi,timer_lo,status,timeout,unexpected_error,terminal_limit
1,42,0x9a07c40b,0x3ea78d8c,0,1,1,507,21,126,126,43228,0,436,0x0000080c,0,0,0
1,42,0x9a07c40b,0x3ea78d8c,1,1,1,507,21,126,35,16969,0,174,0x0000080c,0,0,0
1,43,0xf1f9a54b,0x7b00db61,0,1,1,507,28,252,252,79927,0,805,0x0000080c,0,0,0
1,43,0xf1f9a54b,0x7b00db61,1,1,1,507,28,252,57,28600,0,291,0x0000080c,0,0,0
1,44,0xfba6212d,0xb8b8356a,0,1,1,507,28,368,368,110654,0,1111,0x0000088c,0,0,0
1,44,0xfba6212d,0xb8b8356a,1,1,1,507,28,368,118,41357,0,419,0x0000088c,0,0,0
1,45,0x1ca60615,0xd753b84a,0,1,1,507,21,131,131,44490,0,449,0x0000080c,0,0,0
1,45,0x1ca60615,0xd753b84a,1,1,1,507,21,131,33,16261,0,167,0x0000080c,0,0,0
1,46,0xa085c93e,0x19b8504d,0,1,1,507,20,96,96,34808,0,353,0x0000080c,0,0,0
1,46,0xa085c93e,0x19b8504d,1,1,1,507,20,96,21,12691,0,131,0x0000080c,0,0,0
1,47,0x18190603,0xad0438b2,0,1,1,507,21,120,120,41591,0,421,0x0000080c,0,0,0
1,47,0x18190603,0xad0438b2,1,1,1,507,21,120,26,14536,0,150,0x0000080c,0,0,0
1,48,0xc1143c78,0xbbdab3cd,0,1,1,507,25,157,157,53381,0,539,0x0000080c,0,0,0
1,48,0xc1143c78,0xbbdab3cd,1,1,1,507,25,157,37,19236,0,198,0x0000080c,0,0,0
1,49,0x332063fc,0x222ba57c,0,1,1,507,23,148,148,50019,0,504,0x0000080c,0,0,0
1,49,0x332063fc,0x222ba57c,1,1,1,507,23,148,40,18920,0,195,0x0000080c,0,0,0
1,50,0xd6f4066b,0xab9eb714,0,1,1,507,26,275,275,85009,0,855,0x0000080c,0,0,0
1,50,0xd6f4066b,0xab9eb714,1,1,1,507,26,275,66,26711,0,272,0x0000080c,0,0,0
1,51,0x64b9628c,0x9cd8b518,0,1,1,507,22,122,122,42502,0,430,0x0000080c,0,0,0
1,51,0x64b9628c,0x9cd8b518,1,1,1,507,22,122,23,14212,0,147,0x0000080c,0,0,0
1,52,0x894e6771,0x8a255c2e,0,1,1,507,26,256,256,79932,0,805,0x0000080c,0,0,0
