target_count,seed_j,backend,attempt,m_bound,requested_j,result_index,success,target_probability,execution_seconds
1,3,NUMPY_FLOAT64,3,2,1,10432,False,0.0005492270029208157,0.0003162390785291791
1,3,NUMPY_FLOAT64,4,2,0,264,False,6.103515625e-05,8.873105980455875e-05
1,3,NUMPY_FLOAT64,5,3,0,16295,False,6.103515625e-05,8.643697947263718e-05
1,3,NUMPY_FLOAT64,6,3,0,6395,False,6.103515625e-05,8.437095675617456e-05
1,3,NUMPY_FLOAT64,7,3,1,600,False,0.0005492270029208157,0.00020670297089964151
1,3,NUMPY_FLOAT64,8,4,0,3781,False,6.103515625e-05,4.398298915475607e-05
1,3,NUMPY_FLOAT64,9,5,4,7566,False,0.004935806069861494,0.0002927229506894946
1,3,NUMPY_FLOAT64,10,6,2,77,False,0.0015251339755106843,0.00016234302893280983
1,3,NUMPY_FLOAT64,11,7,4,8449,False,0.004935806069861494,0.0002720389747992158
1,3,NUMPY_FLOAT64,12,8,6,431,False,0.010279732566874802,0.0003550599794834852
1,3,NUMPY_FLOAT64,13,9,2,6095,False,0.0015251339755106843,0.0001476040342822671
1,3,NUMPY_FLOAT64,14,11,4,15460,False,0.004935806069861494,0.0002654050476849079
1,3,NUMPY_FLOAT64,15,13,10,6435,False,0.02667640741818577,0.000626289052888751
1,3,NUMPY_FLOAT64,16,16,4,4598,False,0.004935806069861494,0.0002724110381677747
1,3,NUMPY_FLOAT64,17,19,1,11082,False,0.0005492270029208157,0.00016941095236688852
1,3,NUMPY_FLOAT64,18,23,9,12790,False,0.02187277996348917,0.0005283030914142728
1,3,NUMPY_FLOAT64,19,27,24,5259,False,0.13952800822431213,0.002165028010495007
1,3,NUMPY_FLOAT64,20,32,22,0,True,0.11858967465648255,0.0021516719134524465
1,3,QISKIT_AER_STATEVECTOR,1,1,0,12967,False,6.103515625000003e-05,0.0019222759874537587
1,3,QISKIT_AER_STATEVECTOR,2,2,0,4269,False,6.103515625000003e-05,0.0019264610018581152
1,3,QISKIT_AER_STATEVECTOR,3,2,1,10432,False,0.0005492270029208162,0.014496624004095793
1,3,QISKIT_AER_STATEVECTOR,4,2,0,264,False,6.103515625000003e-05,0.002035354031249881
1,3,QISKIT_AER_STATEVECTOR,5,3,0,16295,False,6.103515625000003e-05,0.0015873989323154092
