target_count,seed_j,seed_meas,backend,success,termination_reason,result_index,trial_count,L_BBHT,execution_seconds,wall_seconds,build_seconds,transpile_seconds
4,31,2779077189,NUMPY_FLOAT64,1,SUCCESS,0,22,126,0.014643111964687705,0.02391957596410066,,
4,31,2779077189,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,22,126,1.6400872828671709,3.365597973926924,0.7753909240709618,0.7560123880393803
4,32,2779077242,NUMPY_FLOAT64,1,SUCCESS,1,21,119,0.010911326273344457,0.016996509046293795,,
4,32,2779077242,QISKIT_AER_STATEVECTOR,1,SUCCESS,1,21,119,1.7127079990459606,2.7854500679532066,0.5106558150146157,0.47076094802469015
4,33,2779077243,NUMPY_FLOAT64,1,SUCCESS,2,17,50,0.006710610003210604,0.013764549978077412,,
4,33,2779077243,QISKIT_AER_STATEVECTOR,1,SUCCESS,2,17,50,0.7590195590164512,0.7754449310014024,0.0,0.0
4,34,2779077240,NUMPY_FLOAT64,1,SUCCESS,1,20,83,0.009474301943555474,0.017600427963770926,,
4,34,2779077240,QISKIT_AER_STATEVECTOR,1,SUCCESS,1,20,83,1.1476484650047496,1.1625107260188088,0.0,0.0
4,35,2779077241,NUMPY_FLOAT64,1,SUCCESS,3,18,76,0.007103725918568671,0.013508670963346958,,
4,35,2779077241,QISKIT_AER_STATEVECTOR,1,SUCCESS,3,18,76,1.0882546050706878,1.1018576640635729,0.0,0.0
4,36,2779077246,NUMPY_FLOAT64,1,SUCCESS,2,21,88,0.010467951418831944,0.018972274963743985,,
4,36,2779077246,QISKIT_AER_STATEVECTOR,1,SUCCESS,2,21,88,1.304810680099763,1.3231165909674019,0.0,0.0
4,37,2779077247,NUMPY_FLOAT64,1,SUCCESS,0,17,61,0.0053369461093097925,0.010085363988764584,,
4,37,2779077247,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,17,61,0.7437735302373767,0.7551430440507829,0.0,0.0
4,38,2779077244,NUMPY_FLOAT64,1,SUCCESS,0,17,59,0.004156593000516295,0.008071299991570413,,
4,38,2779077244,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,17,59,0.8589404799276963,0.871693616034463,0.0,0.0
4,39,2779077245,NUMPY_FLOAT64,1,SUCCESS,1,19,96,0.009802972665056586,0.016228738939389586,,
4,39,2779077245,QISKIT_AER_STATEVECTOR,1,SUCCESS,1,19,96,1.3402561717666686,1.354541631997563,0.0,0.0
4,40,2779077234,NUMPY_FLOAT64,1,SUCCESS,1,20,87,0.010124969063326716,0.017611277988180518,,
4,40,2779077234,QISKIT_AER_STATEVECTOR,1,SUCCESS,1,20,87,1.1180232621263713,1.1329312199959531,0.0,0.0
4,41,2779077235,NUMPY_FLOAT64,1,SUCCESS,2,20,107,0.007129104807972908,0.011675608926452696,,
4,41,2779077235,QISKIT_AER_STATEVECTOR,1,SUCCESS,2,20,107,1.5918819883372635,1.6082266879966483,0.0,0.0
4,42,2779077232,NUMPY_FLOAT64,1,SUCCESS,2,22,151,0.01695788896176964,0.02630300004966557,,
4,42,2779077232,QISKIT_AER_STATEVECTOR,1,SUCCESS,2,22,151,2.027106845402159,4.374603610020131,1.0981209330493584,0.9809444140410051
4,43,2779077233,NUMPY_FLOAT64,1,SUCCESS,2,18,63,0.0041956090135499835,0.008249340928159654,,
4,43,2779077233,QISKIT_AER_STATEVECTOR,1,SUCCESS,2,18,63,0.9668397330678999,0.9811697759432718,0.0,0.0
4,44,2779077238,NUMPY_FLOAT64,1,SUCCESS,1,23,155,0.01689590106252581,0.026066499995067716,,
4,44,2779077238,QISKIT_AER_STATEVECTOR,1,SUCCESS,1,23,155,2.257410811027512,3.611888080020435,0.5837836880236864,0.6321141460211948
4,45,2779077239,NUMPY_FLOAT64,1,SUCCESS,3,17,34,0.002836022526025772,0.006893362966366112,,
4,45,2779077239,QISKIT_AER_STATEVECTOR,1,SUCCESS,3,17,34,0.5656707730377093,0.5767963429680094,0.0,0.0
4,46,2779077236,NUMPY_FLOAT64,1,SUCCESS,3,23,131,0.01548362011089921,0.025608818046748638,,
4,46,2779077236,QISKIT_AER_STATEVECTOR,1,SUCCESS,3,23,131,1.5698778103105724,2.976347123971209,0.7131671940442175,0.5471112560480833
4,47,2779077237,NUMPY_FLOAT64,1,SUCCESS,1,17,57,0.007415027008391917,0.014608670026063919,,
4,47,2779077237,QISKIT_AER_STATEVECTOR,1,SUCCESS,1,17,57,0.8070388770429417,0.8218152360059321,0.0,0.0
4,48,2779077226,NUMPY_FLOAT64,1,SUCCESS,0,19,98,0.0062217762460932136,0.01053823996335268,,
4,48,2779077226,QISKIT_AER_STATEVECTOR,1,SUCCESS,0,19,98,1.3888701433315873,1.4024696800624952,0.0,0.0
4,49,2779077227,NUMPY_FLOAT64,1,SUCCESS,3,22,86,0.009868883527815342,0.017178743961267173,,
4,49,2779077227,QISKIT_AER_STATEVECTOR,1,SUCCESS,3,22,86,1.3120543280383572,1.3316771748941392,0.0,0.0
