target_count,seed_index,requests,requests_a,requests_b,normal,single_opt_k4,k22_a,k22_b,k22_total,k22_makespan,k32_a,k32_b,k32_total,k32_makespan,k23_a,k23_b,k23_total,k23_makespan,k33_a,k33_b,k33_total,k33_makespan
16,39,18,9,9,71,22,9,22,31,22,9,22,31,22,9,22,31,22,9,22,31,22
16,40,18,9,9,48,12,13,7,20,13,12,7,19,12,13,6,19,13,12,6,18,12
16,41,14,7,7,29,9,6,9,15,9,6,9,15,9,6,9,15,9,6,9,15,9
16,42,17,9,8,57,15,12,15,27,15,12,15,27,15,12,15,27,15,12,15,27,15
16,43,8,4,4,6,3,0,3,3,3,0,3,3,3,0,3,3,3,0,3,3,3
16,44,20,10,10,93,19,18,19,37,19,16,19,35,19,18,19,37,19,16,19,35,19
16,45,12,6,6,21,7,4,7,11,7,4,7,11,7,4,7,11,7,4,7,11,7
16,46,18,9,9,68,16,7,16,23,16,7,16,23,16,7,16,23,16,7,16,23,16
16,47,15,8,7,30,12,12,3,15,12,12,3,15,12,12,3,15,12,12,3,15,12
16,48,13,7,6,13,6,6,1,7,6,6,1,7,6,6,1,7,6,6,1,7,6
16,49,16,8,8,44,12,5,12,17,12,5,12,17,12,5,12,17,12,5,12,17,12
64,0,6,3,3,4,2,0,2,2,2,0,2,2,2,0,2,2,2,0,2,2,2
64,1,13,7,6,14,5,5,2,7,5,5,2,7,5,5,2,7,5,5,2,7,5
64,2,7,4,3,3,2,2,0,2,2,2,0,2,2,2,0,2,2,2,0,2,2
64,3,13,7,6,19,5,4,5,9,5,4,5,9,5,4,5,9,5,4,5,9,5
64,4,8,4,4,4,2,1,2,3,2,1,2,3,2,1,2,3,2,1,2,3,2
64,5,18,9,9,40,11,8,11,19,11,8,11,19,11,8,11,19,11,8,11,19,11
64,6,12,6,6,24,6,6,4,10,6,6,4,10,6,6,4,10,6,6,4,10,6
64,7,12,6,6,25,7,4,7,11,7,4,7,11,7,4,7,11,7,4,7,11,7
64,8,11,6,5,13,5,5,4,9,5,5,4,9,5,5,4,9,5,5,4,9,5
64,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,10,5,3,2,4,2,2,1,3,2,2,1,3,2,2,1,3,2,2,1,3,2
64,11,12,6,6,19,7,3,7,10,7,3,7,10,7,3,7,10,7,3,7,10,7
64,12,14,7,7,20,10,3,10,13,10,2,10,12,10,3,10,13,10,2,10,12,10
64,13,11,6,5,17,4,4,4,8,4,4,4,8,4,4,4,8,4,4,4,8,4
64,14,12,6,6,19,6,4,6,10,6,4,6,10,6,4,6,10,6,4,6,10,6
64,15,10,5,5,7,4,2,4,6,4,2,4,6,4,2,4,6,4,2,4,6,4
64,16,13,7,6,30,8,8,4,12,8,8,4,12,8,8,4,12,8,8,4,12,8
64,17,7,4,3,6,2,2,2,4,2,2,2,4,2,2,2,4,2,2,2,4,2
64,18,9,5,4,8,4,4,1,5,4,4,1,5,4,4,1,5,4,4,1,5,4
64,19,11,6,5,16,6,6,3,9,6,6,3,9,6,6,3,9,6,6,3,9,6
64,20,13,7,6,20,5,5,2,7,5,5,2,7,5,5,2,7,5,5,2,7,5
